TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen;
2426;2218;AD HH-Südost (O);2;HH;A;1;;2;Lübeck;AS Hamburg-Südost;N;Hamburg;AD Dreieck Hamburg-Südost (A25);S;6;149.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;572102;5929284;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.50754848;10.08718293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;530;2426012O2426019O;0.397;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
2426;2217;AD HH-Südost (W);2;HH;A;1;;8+1;Lübeck;AD Dreieck Hamburg-Südost (A25);N;Hamburg;AK Kreuz Hamburg-Süd (A255);S;8;150.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;569966;5929459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.50941419;10.05502803;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;2426019O2426001O;0.477;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4908;5675;AK Leverkusen (O);5;NW;A;1;;8+1;Dortmund;AS Burscheid;N;Köln;AK Kreuz Leverkusen (A3);S;6;402.2;156;90;46;20;73289;37928;35361;74693;38798;35895;75114;38863;36251;65768;33512;32256;+4.1;+2.4;+6.4;+8.3;8416;4438;3979;10245;5388;4856;8305;4405;3900;1721;925;797;-2.4;-1.0;-8.5;-4.6;11.5;13.7;11.1;2.6;1.01;0.89;1.13;4124;10.0;913;24.9;4437;10.5;3186;7.7;;;;;;;;;;;;;;;;;;D;D;E;D;D;E;17;;G;8;;E;17;;C;;;E;16;;C;;;D;14;;D;15;;C;14;;D;19;;86.1;8.1;0.3;1.0;2.5;8.8;6.9;0.1;1.4;84.1;8.7;0.2;0.9;3.0;10.6;8.2;0.1;1.3;86.1;8.5;0.3;1.2;2.3;8.7;6.7;0.1;1.7;95.1;5.5;0.4;1.0;0.9;1.6;1.4;0.1;1.3;364845;5658635;75887;39447;36440;10979;5791;5188;69269;35600;33669;3563;1847;1716;;;;;;;;;;;;;;;;;75896;39499;36398;11384;5993;5391;15.0;15.2;14.8;51.06330659;7.07118583;3848;3456;10.1;9.8;6.2;0.9;4.4;0.6;9.7;9.5;39577;36086;0.88;0.90;0.95;1.01;1.14;1.12;0.91;0.94;3956;120;347;13;2931;48;198;9;684;37;190;2;260;4908018A4908083A;5.101;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
4908;5035;AK Leverkusen (W);5;NW;A;1;;8+1;Dortmund;AK Kreuz Leverkusen (A3);N;Köln;AK Kreuz Leverkusen-West (A59);S;6;403.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;358801;5655933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.03757536;6.98603730;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;250;4907071A4908018A;1.613;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
6507;0353;AS Eppelborn;10;SL;A;1;;8+1;Köln;AS Tholey;N;Saarbrücken;AS Eppelborn;S;5;185.2;145;81;42;22;20545;10429;10116;21645;10992;10653;22047;11273;10774;14543;7259;7283;+6.9;+3.8;+13.0;+11.0;;;;;;;;;;;;;;;;;;;;;1.02;0.62;1.07;1179;;209;;1316;;770;;;;;;;;;;;;;;;;;;;E;B;E;A;A;E;17;;B;8;;E;17;;B;7;;E;17;;B;8;;D;15;;D;14;;C;14;;D;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;353633;5475577;22845;11614;11230;;;;16188;8274;7914;;;;;;;;;;;;;;;;;;;;22689;11520;11169;;;;;;;49.41525237;6.98198701;1265;1134;12.1;11.2;;;;;11.0;10.2;11822;11443;0.61;0.64;0.97;0.99;1.08;1.07;0.71;0.71;;;;;;;;;;;;;80;6507026O6507012O;5.486;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
4111;5121;Ascheberg;5;NW;A;1;;8+1;Münster;AS Münster-Hiltrup;N;Dortmund;AS Ascheberg;S;4;288.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;403168;5743440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.83337406;7.59466706;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;340;4211021O4111030O;5.015;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2228;1101;Bad Oldesloe;1;SH;A;1;;8+1;Lübeck;AS Reinfeld;N;Hamburg;AS Bad Oldesloe;S;6;38.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;594121;5961309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.79184164;10.42880292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;570;2228003O2129001O;1.083;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2130;1108;Bad Schwartau;1;SH;A;1;;8+1;Oldenburg iH;AS Bad Schwartau;N;Lübeck;AS Lübeck-Zentrum;S;6;58.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;609762;5972762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;53.89167750;10.67022940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;590;2129003O2030001O;1.269;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
2427;1102;Barsbüttel;1;SH;A;1;;8+1;Lübeck;AS Barsbüttel;N;Hamburg;AK Kreuz Hamburg-Ost (A24);S;7;7.5;245;157;57;31;83295;43181;40114;86140;45088;41052;88065;46737;41328;66030;31142;34888;+6.4;+3.1;+11.0;+13.7;12321;6640;5681;14708;7922;6786;12799;6960;5839;2433;1246;1187;+5.0;+2.6;+7.1;+13.3;14.8;17.1;14.5;3.7;1.02;0.72;1.09;4712;13.1;988;30.7;5204;13.8;3236;10.0;;;;;;;;;;;;;;;;;;C;D;E;A;B;E;17;;G;8;;E;17;;B;8;;E;16;;C;;;F;12;;A;;;B;14;;D;18;;81.5;9.8;0.3;1.4;2.9;11.7;10.0;0.2;2.3;79.3;10.4;0.3;1.3;3.3;13.5;11.5;0.2;2.3;81.6;9.9;0.3;1.5;2.9;11.4;9.7;0.2;2.3;92.4;6.6;0.4;1.8;0.6;2.9;2.6;0.2;2.1;578185;5935581;88785;46640;42145;15800;8448;7352;75563;39680;35882;6178;3749;2429;;;;;;;;;;;;;;;;;88642;46428;42214;16162;8632;7530;18.2;18.6;17.8;53.56327624;10.18046539;4516;3906;10.5;9.7;8.1;3.2;6.1;2.5;9.7;9.3;47164;42878;0.65;0.81;0.94;1.01;1.13;1.04;0.84;0.83;4472;164;553;15;2903;47;276;10;682;53;250;2;560;2426101O2427132O;1.330;Ri1_ist_NachNK;- Anmerkungen in Bearbeitung -;
6307;0173;Bierfeld;10;SL;A;1;;8+1;Köln;AS Nonnweiler-Bierfeld;N;Saarbrücken;AD Dreieck Nonnweiler (A62);S;4;160.6;201;111;57;33;22897;11533;11364;22951;11547;11403;25648;13073;12575;19135;9484;9651;+3.9;-1.7;+15.2;+11.7;3796;1941;1855;4514;2311;2203;4230;2174;2056;588;278;310;+6.7;+2.7;+14.9;+22.8;16.6;19.7;16.5;3.1;1.12;0.79;1.14;1317;15.4;228;30.5;1466;16.4;871;10.3;;;;;;;;;;;;;;;;;;C;C;F;B;B;D;8;17;D;8;17;D;8;17;D;8;17;D;11;15;E;15;;C;11;14;D;12;;C;16;;D;18;;80.2;9.2;0.9;1.6;4.0;12.3;9.5;0.2;1.5;77.2;9.9;0.9;1.6;4.7;14.8;11.4;0.2;1.6;80.3;9.3;0.9;1.7;4.0;12.3;9.6;0.2;1.5;93.8;6.4;1.1;1.8;1.4;1.5;1.2;0.1;1.3;352990;5496258;24384;12318;12067;5042;2585;2457;19928;10044;9885;1381;700;681;;;;;;;;;;;;;;;;;23682;11921;11762;5055;2589;2466;21.3;21.7;21.0;49.60100133;6.96542469;1282;1264;11.1;11.1;12.4;10.4;8.8;7.3;10.8;10.7;11995;11805;0.77;0.81;0.98;1.00;1.14;1.13;0.83;0.84;1212;66;174;14;773;20;71;8;157;12;57;1;120;6307405O6407086O;0.752;Ri1_ist_VonNK;- Anmerkungen in Bearbeitung -;
